Static Pressure,LPM Rota,periph_ch1,periph_ch1_lpm,temp_mcu,Static_Pa,SP_mV,DP_mV,Differential_Pa,Flow_lph,SB lpm,Accuracy,Error,ideal flow,cd
6.82,5,0,,27,6953,32.74,1578.04,0.18,426,7.1,1.42,42.00%,7.174627386,0.9505720135
6.82,5,0,,27,6935,32.71,1578.04,0.18,426,7.1,1.42,42.00%,7.174627386,0.9505720135
6.82,5,0,,27,6898,32.66,1578.04,0.18,426,7.1,1.42,42.00%,7.174627386,0.9505720135
20.1,5,0,,27,20314,51.79,1573.93,0.23,482,8.033333333,1.606666667,60.67%,8.110115073,2.478386536
20.1,5,0,,27,20204,51.63,1574.71,0.21,468,7.8,1.56,56.00%,7.749483282,2.593721319
20.1,5,0,,27,20136,51.53,1575.69,0.21,468,7.8,1.56,56.00%,7.749483282,2.593721319
37.8,5,0,,27,38584,77.83,1570.22,0.31,568,9.466666667,1.893333333,89.33%,9.415512088,4.014651529
37.8,5,0,,27,38660,77.94,1569.24,0.31,568,9.466666667,1.893333333,89.33%,9.415512088,4.014651529
37.8,5,0,,27,38785,78.12,1570.22,0.31,568,9.466666667,1.893333333,89.33%,9.415512088,4.014651529
48.9,5,0,,27,50190,94.38,1568.46,0.33,582,9.7,1.94,94.00%,9.714491403,5.033716946
48.9,5,0,,27,50391,94.66,1568.46,0.33,582,9.7,1.94,94.00%,9.714491403,5.033716946
48.9,5,0,,27,50615,94.98,1569.44,0.33,582,9.7,1.94,94.00%,9.714491403,5.033716946
3.95,10,0,,27,4046,28.59,1563.18,0.47,695,11.58333333,1.158333333,15.83%,11.59343222,0.3407101473
3.95,10,0,,27,4046,28.59,1563.96,0.45,681,11.35,1.135,13.50%,11.34408195,0.3481991771
3.95,10,0,,27,4046,28.59,1563.96,0.45,681,11.35,1.135,13.50%,11.34408195,0.3481991771
19.9,10,0,,27,20204,51.63,1557.52,0.59,780,13,1.3,30.00%,12.9894004,1.532018368
19.9,10,0,,27,20227,51.66,1559.27,0.57,766,12.76666667,1.276666667,27.67%,12.767343,1.558664163
19.9,10,0,,27,20227,51.66,1559.27,0.57,766,12.76666667,1.276666667,27.67%,12.767343,1.558664163
36.9,10,0,,27,37527,76.33,1554.39,0.68,837,13.95,1.395,39.50%,13.94496905,2.64611559
36.9,10,0,,27,37615,76.45,1555.36,0.68,837,13.95,1.395,39.50%,13.94496905,2.64611559
36.9,10,0,,27,37637,76.48,1554.39,0.68,837,13.95,1.395,39.50%,13.94496905,2.64611559
43.7,10,0,,27,44196,85.83,1554.39,0.68,837,13.95,1.395,39.50%,13.94496905,3.133746647
43.7,10,0,,27,44142,85.76,1554.39,0.68,837,13.95,1.395,39.50%,13.94496905,3.133746647
43.7,10,0,,27,44143,85.76,1555.36,0.68,837,13.95,1.395,39.50%,13.94496905,3.133746647
8.44,15,0,,27,8580,35.06,1545.98,0.99,1007,16.78333333,1.118888889,11.89%,16.82599268,0.5016048777
8.44,15,0,,27,8562,35.03,1545.98,0.99,1007,16.78333333,1.118888889,11.89%,16.82599268,0.5016048777
8.44,15,0,,27,8562,35.03,1546.76,0.96,993,16.55,1.103333333,10.33%,16.56909221,0.5093821613
18.51,15,0,,27,18688,49.47,1543.45,1.04,1036,17.26666667,1.151111111,15.11%,17.24565795,1.073313645
18.51,15,0,,27,18691,49.47,1544.42,1.04,1036,17.26666667,1.151111111,15.11%,17.24565795,1.073313645
18.51,15,0,,27,18673,49.45,1544.42,1.04,1036,17.26666667,1.151111111,15.11%,17.24565795,1.073313645
